"","X1","year","State","total_jail_pop","total_pop_15to64","perc_pop","perc_male","perc_female","perc_asian","perc_black","perc_latinx","perc_native","perc_white","lat","lon","State Code","Region","Division"
"1",1,1970,"Alabama",2934,2108268,139,276,13,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"2",2,1971,"Alabama",3183,2143438,149,295,12,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"3",3,1972,"Alabama",3432,2184555,157,312,12,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"4",4,1973,"Alabama",3682,2225575,165,330,12,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"5",5,1974,"Alabama",3931,2270908,173,346,11,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"6",6,1975,"Alabama",4180,2318881,180,361,11,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"7",7,1976,"Alabama",4430,2374832,187,374,10,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"8",8,1977,"Alabama",4679,2417448,194,388,10,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"9",9,1978,"Alabama",5027,2462626,204,412,13,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"10",10,1979,"Alabama",4917,2494504,197,395,15,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"11",11,1980,"Alabama",4807,2520949,191,380,17,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"12",12,1981,"Alabama",4696,2540392,185,366,19,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"13",13,1982,"Alabama",4586,2549519,180,353,21,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"14",14,1983,"Alabama",4476,2558811,175,341,24,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"15",15,1984,"Alabama",4190,2576147,163,315,22,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"16",16,1985,"Alabama",3904,2594439,150,290,21,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"17",17,1986,"Alabama",3960,2612164,152,286,22,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"18",18,1987,"Alabama",4380,2630147,167,326,22,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"19",19,1988,"Alabama",4900,2633701,186,349,29,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"20",20,1989,"Alabama",5473,2632851,208,397,32,0,0,0,0,0,32.7888808,-86.82838503,"AL","South","East South Central"
"21",21,1990,"Alabama",6097,2658904,229,437,34,25,563,272,20,120,32.7888808,-86.82838503,"AL","South","East South Central"
"22",22,1991,"Alabama",6261,2688507,233,440,37,21,567,239,25,119,32.7888808,-86.82838503,"AL","South","East South Central"
"23",23,1992,"Alabama",6937,2725165,255,471,45,28,639,238,29,117,32.7888808,-86.82838503,"AL","South","East South Central"
"24",24,1993,"Alabama",7366,2766224,266,502,43,34,649,382,40,118,32.7888808,-86.82838503,"AL","South","East South Central"
"25",25,1994,"Alabama",7320,2798293,262,494,54,36,640,345,40,129,32.7888808,-86.82838503,"AL","South","East South Central"
"26",26,1995,"Alabama",7864,2819965,279,518,62,51,682,287,46,131,32.7888808,-86.82838503,"AL","South","East South Central"
"27",27,1996,"Alabama",8437,2849238,296,569,61,40,737,298,59,143,32.7888808,-86.82838503,"AL","South","East South Central"
"28",28,1997,"Alabama",9232,2872591,321,618,64,35,756,273,53,167,32.7888808,-86.82838503,"AL","South","East South Central"
"29",29,1998,"Alabama",10219,2908312,351,667,70,53,847,234,48,174,32.7888808,-86.82838503,"AL","South","East South Central"
"30",30,1999,"Alabama",11194,2925419,383,719,82,98,862,471,111,199,32.7888808,-86.82838503,"AL","South","East South Central"
"31",31,2000,"Alabama",11162,2941558,379,704,89,83,848,397,102,200,32.7888808,-86.82838503,"AL","South","East South Central"
"32",32,2001,"Alabama",11680,2956038,395,708,91,69,832,338,91,221,32.7888808,-86.82838503,"AL","South","East South Central"
"33",33,2002,"Alabama",11863,2970798,399,751,99,124,826,418,92,243,32.7888808,-86.82838503,"AL","South","East South Central"
"34",34,2003,"Alabama",12602,2992125,421,773,101,115,813,762,85,254,32.7888808,-86.82838503,"AL","South","East South Central"
"35",35,2004,"Alabama",12908,3017151,428,782,113,118,792,647,106,270,32.7888808,-86.82838503,"AL","South","East South Central"
"36",36,2005,"Alabama",14506,3049784,476,875,132,110,856,590,107,319,32.7888808,-86.82838503,"AL","South","East South Central"
"37",37,2006,"Alabama",14065,3093231,455,826,126,114,838,783,138,298,32.7888808,-86.82838503,"AL","South","East South Central"
"38",38,2007,"Alabama",14198,3124050,454,824,128,114,844,793,133,294,32.7888808,-86.82838503,"AL","South","East South Central"
"39",39,2008,"Alabama",14657,3150235,465,831,131,110,857,493,133,308,32.7888808,-86.82838503,"AL","South","East South Central"
"40",40,2009,"Alabama",14426,3176549,454,821,121,105,830,537,135,305,32.7888808,-86.82838503,"AL","South","East South Central"
